reel_id,reel_url,source_profile,date_added,status,remaining_order,video_name,batch_number,scheduled_date,youtube_video_id
503942092360263,https://www.facebook.com/reel/503942092360263/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,798,,,,
1128837502094532,https://www.facebook.com/reel/1128837502094532/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,799,,,,
1530653368665237,https://www.facebook.com/reel/1530653368665237/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,800,,,,
652856120730907,https://www.facebook.com/reel/652856120730907/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,801,,,,
411918218477827,https://www.facebook.com/reel/411918218477827/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,802,,,,
956433576329934,https://www.facebook.com/reel/956433576329934/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,803,,,,
1671971423846697,https://www.facebook.com/reel/1671971423846697/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,804,,,,
1035208129011787,https://www.facebook.com/reel/1035208129011787/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,805,,,,
784814109710465,https://www.facebook.com/reel/784814109710465/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,806,,,,
523774490558278,https://www.facebook.com/reel/523774490558278/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,807,,,,
1108111654761427,https://www.facebook.com/reel/1108111654761427/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,808,,,,
711536484234737,https://www.facebook.com/reel/711536484234737/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,809,,,,
663555953045244,https://www.facebook.com/reel/663555953045244/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,810,,,,
869954348121316,https://www.facebook.com/reel/869954348121316/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,811,,,,
1351368695725874,https://www.facebook.com/reel/1351368695725874/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,812,,,,
1538554470541408,https://www.facebook.com/reel/1538554470541408/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,813,,,,
587220713229636,https://www.facebook.com/reel/587220713229636/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,814,,,,
282596167502643,https://www.facebook.com/reel/282596167502643/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,815,,,,
1318844599578553,https://www.facebook.com/reel/1318844599578553/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,816,,,,
987987273582614,https://www.facebook.com/reel/987987273582614/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,817,,,,
674971742324776,https://www.facebook.com/reel/674971742324776/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,818,,,,
1890038304967674,https://www.facebook.com/reel/1890038304967674/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,819,,,,
1622972859165588,https://www.facebook.com/reel/1622972859165588/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,820,,,,
648675334931836,https://www.facebook.com/reel/648675334931836/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,821,,,,
1079712727650916,https://www.facebook.com/reel/1079712727650916/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,822,,,,
1151423917026290,https://www.facebook.com/reel/1151423917026290/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,823,,,,
1003279101310192,https://www.facebook.com/reel/1003279101310192/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,824,,,,
1243165911321420,https://www.facebook.com/reel/1243165911321420/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,825,,,,
1722011865811193,https://www.facebook.com/reel/1722011865811193/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,826,,,,
1313507693218448,https://www.facebook.com/reel/1313507693218448/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,827,,,,
